timestamp,pair_id,scene,source,reference,src_gsd_m,ref_gsd_m,scale_ratio,d_sun_azimuth_deg,d_incidence_deg,d_sun_angle_deg,method,status,n_matches,inliers,rmse_gt_px,residual_median_px,success,truth,declared_method,matcher_err_px,declared_err_px,verdict,outcome,seconds,git_commit,command,notes
2026-09-19T11:01:39,miloi_S1_M1389516184RE_M1259058367LE,S1,M1389516184RE,M1259058367LE,1.0015777946681,1.1300839118756998,1.1283,55.02,19.75,47.2,SIFT,ok,37,4,15167.5224609375,312.1282653808594,0,network,,,,,,0.9,"run e10deb0, scored 12245b2",python -m evaluation.miloi --score --log,
2026-09-19T11:01:39,miloi_S1_M1389516184RE_M1259058367LE,S1,M1389516184RE,M1259058367LE,1.0015777946681,1.1300839118756998,1.1283,55.02,19.75,47.2,ORB,ok,25,4,84967.53125,314.0855407714844,0,network,,,,,,0.2,"run e10deb0, scored 12245b2",python -m evaluation.miloi --score --log,
2026-09-19T11:01:39,miloi_S1_M1389516184RE_M1259058367LE,S1,M1389516184RE,M1259058367LE,1.0015777946681,1.1300839118756998,1.1283,55.02,19.75,47.2,AKAZE,ok,34,7,16864.990234375,370.34613037109375,0,network,,,,,,0.3,"run e10deb0, scored 12245b2",python -m evaluation.miloi --score --log,
2026-09-19T11:01:39,miloi_S1_M1389516184RE_M1276733320LE,S1,M1389516184RE,M1276733320LE,1.0015777946681,1.1214956260514002,1.1197,76.54,41.11,76.8,ours_loftr+subpixel,ok,893,8,38362.56640625,312.5391845703125,0,network,fft_phase_correlation (fallback),169.67900633229152,107.11442854000532,contradicted,caught_failure,35.2,"run e10deb0, scored 12245b2",python -m evaluation.miloi --score --log,"reliability {'verified': 0, 'weak': 5, 'no_evidence': 59}"
2026-09-19T11:01:39,miloi_S1_M1389516184RE_M1276733320LE,S1,M1389516184RE,M1276733320LE,1.0015777946681,1.1214956260514002,1.1197,76.54,41.11,76.8,SIFT,ok,28,7,399.2714538574219,185.264892578125,0,network,,,,,,0.7,"run e10deb0, scored 12245b2",python -m evaluation.miloi --score --log,
2026-09-19T11:01:39,miloi_S1_M1389516184RE_M1276733320LE,S1,M1389516184RE,M1276733320LE,1.0015777946681,1.1214956260514002,1.1197,76.54,41.11,76.8,ORB,ok,18,5,456.8948974609375,215.187255859375,0,network,,,,,,0.2,"run e10deb0, scored 12245b2",python -m evaluation.miloi --score --log,
2026-09-19T11:01:39,miloi_S1_M1389516184RE_M1276733320LE,S1,M1389516184RE,M1276733320LE,1.0015777946681,1.1214956260514002,1.1197,76.54,41.11,76.8,AKAZE,ok,11,4,8503.3720703125,182.59136962890625,0,network,,,,,,0.3,"run e10deb0, scored 12245b2",python -m evaluation.miloi --score --log,
2026-09-19T11:01:39,miloi_S1_M1389516184RE_M1317830479LE,S1,M1389516184RE,M1317830479LE,1.0015777946681,1.0086093836379997,1.007,44.45,13.3,36.03,ours_loftr+subpixel,ok,937,12,195.85130310058594,206.10845947265625,0,network,fft_phase_correlation (fallback),58.159391017245255,115.48882325484493,contradicted,caught_failure,63.6,"run e10deb0, scored 12245b2",python -m evaluation.miloi --score --log,"reliability {'verified': 0, 'weak': 7, 'no_evidence': 57}"
2026-09-19T11:01:39,miloi_S1_M1389516184RE_M1317830479LE,S1,M1389516184RE,M1317830479LE,1.0015777946681,1.0086093836379997,1.007,44.45,13.3,36.03,SIFT,ok,77,12,1.0742151737213135,513.865234375,1,network,,,,,,1.2,"run e10deb0, scored 12245b2",python -m evaluation.miloi --score --log,
2026-09-19T11:01:39,miloi_S1_M1389516184RE_M1317830479LE,S1,M1389516184RE,M1317830479LE,1.0015777946681,1.0086093836379997,1.007,44.45,13.3,36.03,ORB,ok,57,36,2.1585075855255127,149.16384887695312,1,network,,,,,,0.3,"run e10deb0, scored 12245b2",python -m evaluation.miloi --score --log,
2026-09-19T11:01:39,miloi_S1_M1389516184RE_M1317830479LE,S1,M1389516184RE,M1317830479LE,1.0015777946681,1.0086093836379997,1.007,44.45,13.3,36.03,AKAZE,ok,52,27,1.9312654733657837,3.68198299407959,1,network,,,,,,0.4,"run e10deb0, scored 12245b2",python -m evaluation.miloi --score --log,
2026-09-19T11:01:39,miloi_S2_M1114021499RE_M102014464RE,S2,M1114021499RE,M102014464RE,1.0374792689826,1.2050139369283,1.1615,1.28,37.14,37.16,ours_loftr+subpixel,ok,2475,1392,2.5258584022521973,2.4191176891326904,1,"network, leave-one-out",loftr+magsac++,1.309551086587345,1.309551086587345,agrees,correct_accepted,32.5,"run e10deb0, scored 12245b2",python -m evaluation.miloi --score --log,"reliability {'verified': 35, 'weak': 20, 'no_evidence': 9}"
2026-09-19T11:01:39,miloi_S2_M1114021499RE_M102014464RE,S2,M1114021499RE,M102014464RE,1.0374792689826,1.2050139369283,1.1615,1.28,37.14,37.16,SIFT,ok,183,148,2.9682533740997314,1.0912081003189087,1,"network, leave-one-out",,,,,,1.0,"run e10deb0, scored 12245b2",python -m evaluation.miloi --score --log,
2026-09-19T11:01:39,miloi_S2_M1114021499RE_M102014464RE,S2,M1114021499RE,M102014464RE,1.0374792689826,1.2050139369283,1.1615,1.28,37.14,37.16,ORB,ok,45,24,11.305295944213867,5.468648910522461,0,"network, leave-one-out",,,,,,0.3,"run e10deb0, scored 12245b2",python -m evaluation.miloi --score --log,
2026-09-19T11:01:39,miloi_S2_M1114021499RE_M102014464RE,S2,M1114021499RE,M102014464RE,1.0374792689826,1.2050139369283,1.1615,1.28,37.14,37.16,AKAZE,ok,82,52,2.625452756881714,1.3549330234527588,1,"network, leave-one-out",,,,,,0.4,"run e10deb0, scored 12245b2",python -m evaluation.miloi --score --log,
2026-09-19T11:01:39,miloi_S2_M1129340193RE_M102014464RE,S2,M1129340193RE,M102014464RE,1.0239154808343,1.2050139369283,1.1769,2.87,34.28,34.37,ours_loftr+subpixel,ok,3452,2324,1.0107520818710327,1.6846882104873657,1,"network, leave-one-out",loftr+magsac++,0.9566032371746374,0.9566032371746374,agrees,correct_accepted,28.7,"run c9fb875-dirty, scored 12245b2",python -m evaluation.miloi --score --log,"reliability {'verified': 40, 'weak': 15, 'no_evidence': 9}"
2026-09-19T11:01:39,miloi_S2_M1129340193RE_M102014464RE,S2,M1129340193RE,M102014464RE,1.0239154808343,1.2050139369283,1.1769,2.87,34.28,34.37,SIFT,ok,436,392,1.609063744544983,1.086029291152954,1,"network, leave-one-out",,,,,,0.7,"run c9fb875-dirty, scored 12245b2",python -m evaluation.miloi --score --log,
2026-09-19T11:01:39,miloi_S2_M1129340193RE_M102014464RE,S2,M1129340193RE,M102014464RE,1.0239154808343,1.2050139369283,1.1769,2.87,34.28,34.37,ORB,ok,97,72,3.7718536853790283,1.657788872718811,0,"network, leave-one-out",,,,,,0.5,"run c9fb875-dirty, scored 12245b2",python -m evaluation.miloi --score --log,
2026-09-19T11:01:39,miloi_S2_M1129340193RE_M102014464RE,S2,M1129340193RE,M102014464RE,1.0239154808343,1.2050139369283,1.1769,2.87,34.28,34.37,AKAZE,ok,185,150,1.8982226848602295,1.3727197647094727,1,"network, leave-one-out",,,,,,0.3,"run c9fb875-dirty, scored 12245b2",python -m evaluation.miloi --score --log,
2026-09-19T11:01:39,miloi_S2_M1129340193RE_M1114021499RE,S2,M1129340193RE,M1114021499RE,1.0239154808343,1.0374792689826,1.0132,4.15,-2.86,4.13,ours_loftr+subpixel,ok,3431,2442,0.32722434401512146,1.2712726593017578,1,"network, leave-one-out",loftr+magsac++,0.25912358861712903,0.25912358861712903,agrees,correct_accepted,25.4,"run e10deb0, scored 12245b2",python -m evaluation.miloi --score --log,"reliability {'verified': 42, 'weak': 21, 'no_evidence': 1}"
