timestamp,pair_id,tier,method,config,rmse_gt_px,residual_px,inlier_count,inlier_ratio,grid_coverage_fraction,distribution_cv,n_matches,gsd_mpp,status,notes
2026-09-19T19:05:07.939030+00:00,synthetic_d030_x+7.77_y-12.42_s3,synthetic,ORB,"dem=dem_site_60m.npy (375, 364); d_azimuth=30deg at fixed 30deg elevation; shift=(+7.7678,-12.4183); rot=0; scale=1; seed=3; detector=ORB (classical baseline)",1.8333369493484497,2.3607337474823,29,0.7435897435897436,0.25,2.204470649437877,39,60.0,ok,"GATE 2 CRITERION 5: classical arm, on the SAME pair our matcher ran on (regenerated by core.pipeline._synthetic_pair, byte-identical). sun azimuth difference 30 deg; shift=(+7.77,-12.42); ORB_time=0.016s. Raw matches to evaluate(), pre-RANSAC."
2026-09-19T19:05:08.087023+00:00,synthetic_d030_x+7.77_y-12.42_s3,synthetic,AKAZE,"dem=dem_site_60m.npy (375, 364); d_azimuth=30deg at fixed 30deg elevation; shift=(+7.7678,-12.4183); rot=0; scale=1; seed=3; detector=AKAZE (classical baseline)",,,0,0.0,,,3,60.0,too_few_matches,"GATE 2 CRITERION 5: classical arm, on the SAME pair our matcher ran on (regenerated by core.pipeline._synthetic_pair, byte-identical). sun azimuth difference 30 deg; shift=(+7.77,-12.42); AKAZE_time=0.157s. Raw matches to evaluate(), pre-RANSAC."
2026-09-19T19:05:08.534502+00:00,synthetic_d030_x+18.06_y-9.12_s4,synthetic,SIFT,"dem=dem_site_60m.npy (375, 364); d_azimuth=30deg at fixed 30deg elevation; shift=(+18.0567,-9.1241); rot=0; scale=1; seed=4; detector=SIFT (classical baseline)",241.68507385253906,129.3760223388672,6,0.46153846153846156,0.046875,5.567764362830022,13,60.0,ok,"GATE 2 CRITERION 5: classical arm, on the SAME pair our matcher ran on (regenerated by core.pipeline._synthetic_pair, byte-identical). sun azimuth difference 30 deg; shift=(+18.06,-9.12); SIFT_time=0.272s. Raw matches to evaluate(), pre-RANSAC."
2026-09-19T19:05:08.544220+00:00,synthetic_d030_x+18.06_y-9.12_s4,synthetic,ORB,"dem=dem_site_60m.npy (375, 364); d_azimuth=30deg at fixed 30deg elevation; shift=(+18.0567,-9.1241); rot=0; scale=1; seed=4; detector=ORB (classical baseline)",0.7481517791748047,79.57738494873047,32,0.6956521739130435,0.28125,2.091650066335189,46,60.0,ok,"GATE 2 CRITERION 5: classical arm, on the SAME pair our matcher ran on (regenerated by core.pipeline._synthetic_pair, byte-identical). sun azimuth difference 30 deg; shift=(+18.06,-9.12); ORB_time=0.007s. Raw matches to evaluate(), pre-RANSAC."
2026-09-19T19:05:08.619646+00:00,synthetic_d030_x+18.06_y-9.12_s4,synthetic,AKAZE,"dem=dem_site_60m.npy (375, 364); d_azimuth=30deg at fixed 30deg elevation; shift=(+18.0567,-9.1241); rot=0; scale=1; seed=4; detector=AKAZE (classical baseline)",,,0,0.0,,,6,60.0,ransac_failed,"GATE 2 CRITERION 5: classical arm, on the SAME pair our matcher ran on (regenerated by core.pipeline._synthetic_pair, byte-identical). sun azimuth difference 30 deg; shift=(+18.06,-9.12); AKAZE_time=0.073s. Raw matches to evaluate(), pre-RANSAC."
2026-09-19T19:05:08.753121+00:00,synthetic_d045_x+12.37_y-8.63_s0,synthetic,SIFT,"dem=dem_site_60m.npy (375, 364); d_azimuth=45deg at fixed 30deg elevation; shift=(+12.3700,-8.6300); rot=0; scale=1; seed=0; detector=SIFT (classical baseline)",,,0,0.0,,,9,60.0,ransac_failed,"GATE 2 CRITERION 5: classical arm, on the SAME pair our matcher ran on (regenerated by core.pipeline._synthetic_pair, byte-identical). sun azimuth difference 45 deg; shift=(+12.37,-8.63); SIFT_time=0.059s. Raw matches to evaluate(), pre-RANSAC."
2026-09-19T19:05:08.764425+00:00,synthetic_d045_x+12.37_y-8.63_s0,synthetic,ORB,"dem=dem_site_60m.npy (375, 364); d_azimuth=45deg at fixed 30deg elevation; shift=(+12.3700,-8.6300); rot=0; scale=1; seed=0; detector=ORB (classical baseline)",876.5613403320312,26.08515167236328,4,0.4444444444444444,0.046875,4.795831523312719,9,60.0,ok,"GATE 2 CRITERION 5: classical arm, on the SAME pair our matcher ran on (regenerated by core.pipeline._synthetic_pair, byte-identical). sun azimuth difference 45 deg; shift=(+12.37,-8.63); ORB_time=0.010s. Raw matches to evaluate(), pre-RANSAC."
2026-09-19T19:05:08.843871+00:00,synthetic_d045_x+12.37_y-8.63_s0,synthetic,AKAZE,"dem=dem_site_60m.npy (375, 364); d_azimuth=45deg at fixed 30deg elevation; shift=(+12.3700,-8.6300); rot=0; scale=1; seed=0; detector=AKAZE (classical baseline)",,,0,0.0,,,0,60.0,too_few_matches,"GATE 2 CRITERION 5: classical arm, on the SAME pair our matcher ran on (regenerated by core.pipeline._synthetic_pair, byte-identical). sun azimuth difference 45 deg; shift=(+12.37,-8.63); AKAZE_time=0.077s. Raw matches to evaluate(), pre-RANSAC."
2026-09-19T19:05:09.219798+00:00,synthetic_d045_x+12.88_y-3.85_s1,synthetic,SIFT,"dem=dem_site_60m.npy (375, 364); d_azimuth=45deg at fixed 30deg elevation; shift=(+12.8819,-3.8544); rot=0; scale=1; seed=1; detector=SIFT (classical baseline)",,,0,0.0,,,10,60.0,ransac_failed,"GATE 2 CRITERION 5: classical arm, on the SAME pair our matcher ran on (regenerated by core.pipeline._synthetic_pair, byte-identical). sun azimuth difference 45 deg; shift=(+12.88,-3.85); SIFT_time=0.318s. Raw matches to evaluate(), pre-RANSAC."
2026-09-19T19:05:09.229422+00:00,synthetic_d045_x+12.88_y-3.85_s1,synthetic,ORB,"dem=dem_site_60m.npy (375, 364); d_azimuth=45deg at fixed 30deg elevation; shift=(+12.8819,-3.8544); rot=0; scale=1; seed=1; detector=ORB (classical baseline)",,,0,0.0,,,7,60.0,ransac_failed,"GATE 2 CRITERION 5: classical arm, on the SAME pair our matcher ran on (regenerated by core.pipeline._synthetic_pair, byte-identical). sun azimuth difference 45 deg; shift=(+12.88,-3.85); ORB_time=0.007s. Raw matches to evaluate(), pre-RANSAC."
