pair_id,sun_delta_deg,shift_x,shift_y,seed,gsd_mpp,cell_row,cell_col,state,n_inliers,n_raw,local_inlier_ratio,median_inlier_residual_px,area_dx,area_dy,area_ncc,area_agrees,true_error_px,true_error_m,global_contradicted,global_shift_dx,global_shift_dy,global_ncc,method_used,fallback_rmse_gt_px,pair_rmse_gt_px,pair_inlier_ratio
synthetic_d000_x+12.37_y-8.63_s0,0.0,12.37,-8.63,0,60.0,4,3,verified,35,35,1.0,0.19660176153512085,0.0,0.0,0.997693149105487,True,0.30148789286613464,18.08927357196808,False,0,0,0.6692707422433786,loftr+magsac++,,0.33406883478164673,0.9986559139784946
synthetic_d000_x+12.37_y-8.63_s0,0.0,12.37,-8.63,0,60.0,4,4,verified,25,25,1.0,0.1861856438881441,0.0,0.0,0.9971885226878981,True,0.30848023295402527,18.508813977241516,False,0,0,0.6692707422433786,loftr+magsac++,,0.33406883478164673,0.9986559139784946
synthetic_d000_x+12.37_y-8.63_s0,0.0,12.37,-8.63,0,60.0,4,5,verified,34,34,1.0,0.14693215016812206,0.0,0.0,0.9967477096071654,True,0.31855493783950806,19.113296270370483,False,0,0,0.6692707422433786,loftr+magsac++,,0.33406883478164673,0.9986559139784946
synthetic_d000_x+12.37_y-8.63_s0,0.0,12.37,-8.63,0,60.0,4,6,verified,30,30,1.0,0.15688745597370612,0.0,0.0,0.9951425033931501,True,0.3318062126636505,19.90837275981903,False,0,0,0.6692707422433786,loftr+magsac++,,0.33406883478164673,0.9986559139784946
synthetic_d000_x+12.37_y-8.63_s0,0.0,12.37,-8.63,0,60.0,4,7,verified,16,16,1.0,0.1423379523567099,0.0,0.0,0.9119218656180125,True,0.3484383225440979,20.906299352645874,False,0,0,0.6692707422433786,loftr+magsac++,,0.33406883478164673,0.9986559139784946
synthetic_d000_x+12.37_y-8.63_s0,0.0,12.37,-8.63,0,60.0,5,0,verified,14,14,1.0,0.23491747762061643,0.0,0.0,0.5066663421222397,True,0.27898579835891724,16.739147901535034,False,0,0,0.6692707422433786,loftr+magsac++,,0.33406883478164673,0.9986559139784946
synthetic_d000_x+12.37_y-8.63_s0,0.0,12.37,-8.63,0,60.0,5,1,verified,23,23,1.0,0.21221355949573736,0.0,0.0,0.9935995113210853,True,0.28401777148246765,17.04106628894806,False,0,0,0.6692707422433786,loftr+magsac++,,0.33406883478164673,0.9986559139784946
synthetic_d000_x+12.37_y-8.63_s0,0.0,12.37,-8.63,0,60.0,5,2,verified,31,31,1.0,0.14436340654593113,0.0,0.0,0.9946877885660326,True,0.2917497456073761,17.504984736442566,False,0,0,0.6692707422433786,loftr+magsac++,,0.33406883478164673,0.9986559139784946
synthetic_d000_x+12.37_y-8.63_s0,0.0,12.37,-8.63,0,60.0,5,3,verified,35,35,1.0,0.17001657820278293,0.0,0.0,0.9970900758075057,True,0.30227237939834595,18.136342763900757,False,0,0,0.6692707422433786,loftr+magsac++,,0.33406883478164673,0.9986559139784946
synthetic_d000_x+12.37_y-8.63_s0,0.0,12.37,-8.63,0,60.0,5,4,verified,26,26,1.0,0.16388091377638717,0.0,0.0,0.9976835511938761,True,0.315681517124176,18.94089102745056,False,0,0,0.6692707422433786,loftr+magsac++,,0.33406883478164673,0.9986559139784946
