ProductId,UTCstart,UTCend,CenterLat,CenterLon,MinLat,MaxLat,WestLon,EastLon,ExtURL,ProdURL,FilesURL,LabelURL
nac.m1371319729le,2021-03-25T13:54:22.25500,2021-03-25T13:55:15.32900,-1.0,158.9902,-85.1775,-84.8,142.88,174.8,https://data.lroc.im-ldi.com/lroc/view_lroc/LRO-L-LROC-2-EDR-V1.0/M1371319729LE,https://ode.rsl.wustl.edu/moon/indexproductpage.aspx?product_id=nac.m1371319729le&product_idGeo=29303421,https://ode.rsl.wustl.edu/moon/productfiles.aspx?product_id=nac.m1371319729le&product_idGeo=29303421,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0047A/DATA/ESM4/2021084/NAC/M1371319729LE.xml
nac.m1371319729re,2021-03-25T13:54:22.25500,2021-03-25T13:55:15.32900,-1.0,158.8999,-85.0527,-84.68,143.18,174.32,https://data.lroc.im-ldi.com/lroc/view_lroc/LRO-L-LROC-2-EDR-V1.0/M1371319729RE,https://ode.rsl.wustl.edu/moon/indexproductpage.aspx?product_id=nac.m1371319729re&product_idGeo=29303422,https://ode.rsl.wustl.edu/moon/productfiles.aspx?product_id=nac.m1371319729re&product_idGeo=29303422,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0047A/DATA/ESM4/2021084/NAC/M1371319729RE.xml
nac.m1380641582le,2021-07-11T11:18:35.89300,2021-07-11T11:19:06.07300,-1.0,150.951,-84.73,-84.17,143.18,159.14,https://data.lroc.im-ldi.com/lroc/view_lroc/LRO-L-LROC-2-EDR-V1.0/M1380641582LE,https://ode.rsl.wustl.edu/moon/indexproductpage.aspx?product_id=nac.m1380641582le&product_idGeo=29317012,https://ode.rsl.wustl.edu/moon/productfiles.aspx?product_id=nac.m1380641582le&product_idGeo=29317012,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0048A/DATA/ESM4/2021192/NAC/M1380641582LE.xml
nac.m1380641582re,2021-07-11T11:18:35.89300,2021-07-11T11:19:06.07300,-1.0,150.5903,-84.87,-84.3,142.66,158.98,https://data.lroc.im-ldi.com/lroc/view_lroc/LRO-L-LROC-2-EDR-V1.0/M1380641582RE,https://ode.rsl.wustl.edu/moon/indexproductpage.aspx?product_id=nac.m1380641582re&product_idGeo=29317015,https://ode.rsl.wustl.edu/moon/productfiles.aspx?product_id=nac.m1380641582re&product_idGeo=29317015,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0048A/DATA/ESM4/2021192/NAC/M1380641582RE.xml
nac.m1380676781le,2021-07-11T21:05:14.34500,2021-07-11T21:05:43.48400,-1.0,149.5128,-84.85,-84.4,141.61,157.67,https://data.lroc.im-ldi.com/lroc/view_lroc/LRO-L-LROC-2-EDR-V1.0/M1380676781LE,https://ode.rsl.wustl.edu/moon/indexproductpage.aspx?product_id=nac.m1380676781le&product_idGeo=29317786,https://ode.rsl.wustl.edu/moon/productfiles.aspx?product_id=nac.m1380676781le&product_idGeo=29317786,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0048A/DATA/ESM4/2021192/NAC/M1380676781LE.xml
nac.m1380676781re,2021-07-11T21:05:14.34500,2021-07-11T21:05:43.48400,-1.0,149.2334,-84.98,-84.53,141.15,157.6,https://data.lroc.im-ldi.com/lroc/view_lroc/LRO-L-LROC-2-EDR-V1.0/M1380676781RE,https://ode.rsl.wustl.edu/moon/indexproductpage.aspx?product_id=nac.m1380676781re&product_idGeo=29317788,https://ode.rsl.wustl.edu/moon/productfiles.aspx?product_id=nac.m1380676781re&product_idGeo=29317788,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0048A/DATA/ESM4/2021192/NAC/M1380676781RE.xml
nac.m1375871880re,2021-05-17T06:23:33.19700,2021-05-17T06:24:26.27200,-1.0,163.3637,-84.98,-84.16,149.73,178.52,https://data.lroc.im-ldi.com/lroc/view_lroc/LRO-L-LROC-2-EDR-V1.0/M1375871880RE,https://ode.rsl.wustl.edu/moon/indexproductpage.aspx?product_id=nac.m1375871880re&product_idGeo=29318336,https://ode.rsl.wustl.edu/moon/productfiles.aspx?product_id=nac.m1375871880re&product_idGeo=29318336,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0047C/DATA/ESM4/2021137/NAC/M1375871880RE.xml
nac.m1375892958le,2021-05-17T12:14:51.34200,2021-05-17T12:15:44.41700,-1.0,149.1193,-84.71,-83.41,137.82,162.65,https://data.lroc.im-ldi.com/lroc/view_lroc/LRO-L-LROC-2-EDR-V1.0/M1375892958LE,https://ode.rsl.wustl.edu/moon/indexproductpage.aspx?product_id=nac.m1375892958le&product_idGeo=29318670,https://ode.rsl.wustl.edu/moon/productfiles.aspx?product_id=nac.m1375892958le&product_idGeo=29318670,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0047C/DATA/ESM4/2021137/NAC/M1375892958LE.xml
nac.m1375892958re,2021-05-17T12:14:51.34200,2021-05-17T12:15:44.41700,-1.0,148.5812,-84.83,-83.51,137.15,162.38,https://data.lroc.im-ldi.com/lroc/view_lroc/LRO-L-LROC-2-EDR-V1.0/M1375892958RE,https://ode.rsl.wustl.edu/moon/indexproductpage.aspx?product_id=nac.m1375892958re&product_idGeo=29318675,https://ode.rsl.wustl.edu/moon/productfiles.aspx?product_id=nac.m1375892958re&product_idGeo=29318675,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0047C/DATA/ESM4/2021137/NAC/M1375892958RE.xml
nac.m1375914084le,2021-05-17T18:06:57.31400,2021-05-17T18:07:50.38800,-1.0,158.1059,-84.8306,-84.06,144.63,172.91,https://data.lroc.im-ldi.com/lroc/view_lroc/LRO-L-LROC-2-EDR-V1.0/M1375914084LE,https://ode.rsl.wustl.edu/moon/indexproductpage.aspx?product_id=nac.m1375914084le&product_idGeo=29319365,https://ode.rsl.wustl.edu/moon/productfiles.aspx?product_id=nac.m1375914084le&product_idGeo=29319365,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0047C/DATA/ESM4/2021137/NAC/M1375914084LE.xml
